State,Delta,Theta,Alpha,Beta,Gamma
Baseline,2507.26,4495.41,5585.76,17469.16,277839.48
Baseline,1812.24,4474.98,3695.60,10242.02,270388.56
Baseline,1952.92,3266.62,3078.32,12517.76,274706.39
Baseline,1832.29,4014.12,4471.91,7163.26,266656.14
Baseline,1025.53,7598.21,3780.06,7719.05,273139.23
Baseline,1393.29,3131.08,3326.90,6961.11,268651.28
Baseline,583.52,5531.85,3957.82,10909.28,272865.39
Baseline,2510.61,4533.47,3586.85,8383.77,275405.39
Baseline,1167.05,6121.13,3251.66,12600.27,277084.08
Baseline,1486.29,3584.21,3830.29,10905.98,280106.79
Baseline,4157.97,5561.41,3556.85,10813.44,283309.65
Baseline,2692.06,5222.46,3965.67,11730.35,283713.53
Baseline,1700.51,6082.94,3802.25,9072.14,276613.78
Baseline,1106.04,6611.99,5574.66,13406.22,281327.92
Baseline,1808.06,6066.79,5101.51,9901.32,271802.81
Baseline,2539.29,2636.33,2184.18,13149.80,278506.99
Baseline,961.78,2876.30,5003.30,9903.43,277114.34
Baseline,2146.49,6179.98,3127.28,8100.77,277983.70
Baseline,1084.59,7604.65,4287.29,10602.35,280819.13
Baseline,1801.72,3881.70,4544.07,10224.04,276583.81
Baseline,1000.09,5279.64,5218.11,8377.34,282225.50
Baseline,1626.86,3804.34,3115.56,12361.35,280592.05
Baseline,2287.98,3660.86,3981.94,11951.92,282393.73
Baseline,990.21,5871.93,3267.21,11586.91,278575.40
Baseline,1729.67,5493.55,3516.29,10466.42,289017.93
Baseline,1154.20,8272.57,2211.86,9016.71,275672.67
Baseline,1807.81,4619.18,2749.11,14181.31,276141.68
Baseline,3083.00,5495.20,7059.74,10948.88,269843.69
Baseline,1842.46,7017.49,4118.08,8586.82,274061.22
Baseline,2030.81,3536.91,2982.09,8865.52,272920.79
Baseline,1085.63,4810.82,5544.85,11223.03,276833.07
Baseline,4220.46,4489.42,5703.38,8729.57,278642.31
Baseline,2701.74,3709.13,3497.92,10685.51,272591.43
Baseline,1461.66,5919.73,6218.45,12916.73,279650.05
Baseline,1439.61,6521.50,3836.01,8272.62,271532.32
Baseline,3059.81,7267.18,7869.91,9637.62,276415.65
Baseline,1418.91,3829.93,3763.65,10662.75,271407.53
Baseline,2087.67,4884.69,4023.35,13643.55,270436.42
Baseline,1588.96,4568.77,6323.23,12065.23,278312.93
Baseline,4047.61,7099.79,3372.47,12591.70,273667.64
Baseline,3344.44,6452.50,4786.21,12158.51,272182.10
Baseline,2478.40,5399.23,2910.04,9857.64,271633.89
Baseline,2226.46,4649.55,4688.80,13612.71,274391.14
Baseline,1099.07,5041.22,2535.11,10758.18,270484.16
Baseline,3021.88,9401.28,3033.21,11483.78,278396.60
Baseline,2472.79,6341.36,3021.88,8595.83,272623.37
Baseline,2939.73,5129.65,4563.50,9132.54,271712.39
Baseline,876.77,4153.21,5421.35,10080.39,276155.79
Baseline,2249.78,5379.11,2571.32,8879.97,270932.11
Baseline,3147.86,4039.61,3096.56,12387.13,273088.63
Baseline,2740.51,4652.26,4730.24,12334.30,271463.39
Baseline,2711.39,7423.11,4673.37,12844.70,277877.41
Baseline,1819.89,2988.36,4218.96,10553.11,278409.14
Baseline,2715.59,4339.51,4311.45,11604.66,279272.36
Baseline,572.76,6118.63,3031.54,8449.58,268165.08
Baseline,1527.17,8097.93,4678.01,11648.64,271541.79
Baseline,1898.96,3900.19,4262.97,12400.73,275024.82
Baseline,2116.58,5209.26,3676.03,8373.45,270982.77
Baseline,2406.98,4158.40,4204.66,8861.74,277906.07
Baseline,3281.58,6294.05,2475.72,10514.97,272734.27
Baseline,3169.27,3468.30,5259.98,9431.72,270481.75
Baseline,2956.78,3819.66,4007.15,15391.82,278053.38
Baseline,1790.47,6473.51,4114.63,13340.93,274081.12
Baseline,1563.34,6384.03,6650.85,13231.54,281258.97
Baseline,2047.60,2904.72,2841.84,12322.23,271306.46
Baseline,847.65,5106.14,3988.87,15259.90,278928.29
Baseline,3293.67,7357.30,3367.86,14329.00,272389.40
Baseline,4110.60,5468.95,5119.95,11090.99,268572.32
Baseline,2503.88,8179.24,3624.60,11329.45,276128.79
Baseline,1358.98,5595.15,3264.53,7950.59,273600.67
Baseline,2480.98,5870.26,2605.80,7295.40,269236.00
Baseline,2046.24,3549.05,5283.40,15595.72,269749.00
Baseline,1631.05,5084.44,5098.11,12002.81,267299.84
Baseline,750.40,6589.76,4647.14,13857.09,276870.46
Baseline,3526.86,12878.75,4342.29,8487.91,282525.73
Baseline,2678.47,4366.65,3636.99,9610.96,265918.00
Baseline,3305.81,2921.10,2595.27,10325.50,271121.07
Baseline,3023.01,6480.03,3379.58,11000.06,269939.85
Baseline,1506.54,5505.01,4744.25,10350.73,268088.27
Baseline,1138.04,4565.37,2598.58,10255.39,265478.45
Baseline,1848.72,4472.88,2149.12,9693.08,265297.18
Baseline,2200.65,7493.56,2359.38,7627.70,272030.74
Baseline,3444.74,5283.37,3597.35,10114.10,268806.48
Baseline,2254.19,5300.12,3044.01,10238.57,262730.99
Baseline,1654.18,4728.01,3695.46,13151.66,267978.85
Baseline,1166.59,5282.30,2958.83,7705.10,266826.99
Baseline,539.30,4188.59,1849.79,10590.11,266092.17
Baseline,1114.06,4732.71,7639.92,9568.53,268590.13
Baseline,1884.00,4060.58,5127.78,12213.71,266627.39
Baseline,1160.32,9138.88,3844.99,8463.15,270106.26
Baseline,1481.32,7939.04,3954.39,8737.70,268812.42
Baseline,1580.95,3286.29,4392.41,11543.80,265457.41
Baseline,1386.18,4329.19,3843.69,11045.39,269509.35
Baseline,1374.36,6394.25,7026.88,13486.03,269268.62
