State,Delta,Theta,Alpha,Beta,Gamma
Baseline,7957.29,7735.37,9501.63,12162.96,233226.86
Baseline,5718.08,11985.53,6633.75,9357.01,235007.68
Baseline,13082.75,13645.06,6575.54,12241.59,233111.33
Baseline,13521.56,17204.60,9969.07,19905.02,289141.51
Baseline,12295.57,8898.43,5593.35,10558.38,237225.66
Baseline,12869.62,7901.62,9904.28,18486.86,262812.13
Baseline,18348.27,20937.74,18649.19,18206.83,289269.96
Baseline,12727.44,7528.52,5557.02,18009.95,232443.93
Baseline,7340.72,12990.11,5319.68,9567.25,251070.19
Baseline,9174.20,6936.85,5950.93,17491.80,240081.14
Baseline,21873.21,13894.48,8504.46,10582.25,283711.01
Baseline,9010.78,5626.56,5846.78,11648.78,275279.48
Baseline,19203.39,54266.75,36134.90,55936.73,362113.38
Baseline,9720.21,9748.91,5339.56,13648.80,283882.04
Baseline,21049.92,19471.87,7456.03,15847.48,300664.80
Baseline,12644.50,10743.60,5906.10,15157.87,281959.16
Baseline,26257.30,32410.82,30439.72,43501.86,344389.28
Baseline,26766.84,16533.60,7381.49,30519.37,290005.71
Baseline,27313.84,32766.56,35221.57,53548.06,344069.07
Baseline,16247.41,10032.36,6807.12,8082.82,300018.56
Baseline,7782.37,10199.97,2927.84,12518.77,287216.78
Baseline,20240.60,14710.83,4895.40,11284.86,285039.74
Baseline,12426.91,11592.94,5711.34,15126.60,284615.55
Baseline,18125.23,16033.82,7351.33,11820.92,292128.60
Baseline,28784.05,21212.63,12228.57,35100.57,276690.40
Baseline,0.00,0.00,0.00,0.00,0.00
Baseline,0.00,0.00,0.00,0.00,0.00
Baseline,15564.39,14576.87,7108.49,19176.36,216048.35
Baseline,15755.22,24869.74,13643.86,23609.87,220211.30
Baseline,871.93,299.38,101.91,86.92,41.00
Baseline,69953.97,35146.59,18516.40,28206.42,288322.92
Baseline,24787.05,19300.02,15281.84,19736.78,260347.90
Baseline,10481.43,22730.60,14562.21,28208.71,235353.67
Baseline,27477.03,44157.13,24320.33,31467.87,280668.68
Baseline,20146.39,10482.91,6522.01,12888.98,229098.78
Baseline,21657.71,11421.85,6603.93,26222.21,286669.62
Baseline,14902.90,6217.39,6903.86,12900.25,264293.18
Baseline,6602.74,2017.18,4322.00,12824.15,240200.94
Baseline,6880.41,2136.65,6233.08,10892.12,238222.51
Baseline,9533.53,4452.22,4515.10,13599.86,243482.42
Baseline,10445.62,9642.50,7789.47,12643.67,241792.51
Baseline,8700.90,4891.13,5276.63,12254.00,240182.18
Baseline,9935.30,5410.17,8484.04,15571.91,244208.45
Baseline,1725.34,5800.51,5177.50,11667.48,244396.71
Baseline,8286.89,3622.30,7063.38,13569.38,240176.20
Baseline,10726.43,4583.79,9268.91,12784.24,234520.06
Baseline,15293.66,9670.78,7930.33,13047.36,239281.53
Baseline,5865.50,4762.37,4734.93,15203.78,237607.05
Baseline,5610.23,6873.08,4921.10,16216.51,243278.56
Baseline,4919.55,5976.52,4689.03,13910.69,249566.28
Baseline,7549.53,3092.09,6363.53,8100.81,233423.64
Baseline,7548.06,4764.97,4951.87,11225.16,243313.24
Baseline,34817.80,24018.72,14098.30,17499.84,251225.86
Baseline,9543.51,3278.14,5468.53,12993.89,228145.49
Baseline,17088.90,3722.47,5911.70,11948.17,236310.87
Baseline,7681.67,5080.92,3301.03,8820.20,240533.30
Baseline,71270.86,34774.97,17129.27,20788.83,253162.81
Baseline,21928.09,24614.74,6559.18,18661.63,98857.80
Baseline,10031.89,16800.61,10721.89,20857.92,108074.15
Baseline,8644.81,15344.15,7854.54,19522.84,88517.67
Baseline,9809.61,10906.74,11145.06,19180.66,75570.91
Baseline,11502.72,3106.50,3214.03,7221.87,47595.12
Baseline,944.83,310.19,309.51,898.40,3716.24
Baseline,495.34,695.26,926.86,1445.19,5268.33
Baseline,27908.48,20667.04,11819.22,22072.20,68982.00
Baseline,15326.58,21967.03,9120.60,19365.39,65839.29
Baseline,13899.44,6411.19,13857.90,20509.42,58110.28
Baseline,16857.63,30075.69,9513.05,15688.32,84726.59
Baseline,10307.38,3297.59,6096.60,13576.58,64713.98
Baseline,6925.28,6238.82,8602.36,16930.31,78068.82
Baseline,11576.71,13275.27,4662.98,13342.53,86207.48
Baseline,19067.27,31781.00,12132.64,23408.22,80668.12
Baseline,28909.11,15521.57,12541.48,12772.60,89442.22
Baseline,13860.69,15602.05,12643.18,23854.52,89518.46
Baseline,16722.46,35028.60,19064.70,70118.48,174476.48
Baseline,101270.18,86949.52,61704.85,94636.45,154440.21
Baseline,30010.82,28669.61,21139.99,33213.53,52081.06
Baseline,88068.93,83285.08,53212.52,92482.28,142154.01
Baseline,22874.49,27378.01,13894.70,30874.57,274540.73
Baseline,871.93,299.38,101.91,86.92,41.00
Baseline,871.93,299.38,101.91,86.92,41.00
Baseline,871.93,299.38,101.91,86.92,41.00
Baseline,871.93,299.38,101.91,86.92,41.00
Baseline,871.93,299.38,101.91,86.92,41.00
Baseline,871.93,299.38,101.91,86.92,41.00
Baseline,871.93,299.38,101.91,86.92,41.00
Baseline,871.93,299.38,101.91,86.92,41.00
Baseline,871.93,299.38,101.91,86.92,41.00
Baseline,25257.72,26238.93,23550.59,28852.15,74454.89
Baseline,142559.33,126983.15,69774.23,76302.36,140954.51
Baseline,871.93,299.38,101.91,86.92,41.00
Baseline,871.93,299.38,101.91,86.92,41.00
Baseline,14190.71,15767.70,8912.98,12663.75,256504.90
Baseline,37334.85,37065.19,7593.03,12597.32,302868.85
Baseline,100934.81,132802.00,55616.52,68265.82,346902.48
Baseline,21771.14,17501.76,8829.92,26072.11,196953.49
Baseline,20884.66,21098.06,9224.29,14527.80,250149.30
Baseline,6751.12,22878.40,10989.23,11025.92,261697.39
Baseline,13163.06,12565.30,3883.62,9652.68,177412.49
Baseline,4155.36,7980.11,13909.13,31281.18,191821.91
Baseline,8632.12,9123.27,9369.66,18864.90,114457.32
Baseline,174493.20,142268.69,88984.18,165830.57,288101.70
Baseline,30206.44,89266.53,36661.12,142677.41,780751.19
Baseline,0.00,0.00,0.00,0.00,0.00
Baseline,0.00,0.00,0.00,0.00,0.00
Baseline,0.00,0.00,0.00,0.00,0.00
Baseline,0.00,0.00,0.00,0.00,0.00
Baseline,46953.11,64771.08,24302.66,45122.94,300990.80
Baseline,17728.52,11869.30,14003.61,22658.21,200746.17
Baseline,9796.02,12668.99,8683.94,24885.81,170510.93
Baseline,6690.42,10244.26,9012.56,17036.75,171436.53
Baseline,35268.29,47590.24,19578.85,31539.62,249681.34
Baseline,18777.35,21522.21,14182.37,14679.89,149207.55
Baseline,199973.63,100674.44,62944.04,61157.07,254483.96
Baseline,92612.91,88846.14,56534.31,44090.10,247941.48
Baseline,47489.47,56282.03,8600.95,25291.92,183968.24
Baseline,53940.54,57836.99,13694.26,23416.85,208406.17
Baseline,58806.91,17492.98,21990.14,41312.20,206990.96
Baseline,15386.13,9612.66,7768.00,17584.56,161716.41
Baseline,12037.45,6137.03,13013.64,20520.92,158017.92
Baseline,6403.23,9930.40,8383.71,23185.31,169592.83
Baseline,13496.14,14306.58,16284.91,14623.79,166521.49
Baseline,27185.38,30913.66,15467.20,19438.64,154108.55
Baseline,18647.50,26180.64,11615.51,16838.94,189278.76
Baseline,16834.35,28924.29,17681.42,19062.12,163088.05
Baseline,48538.39,69119.73,38326.07,40290.45,223077.67
Baseline,91451.12,108418.53,70283.45,83123.52,202095.44
Baseline,15361.85,19944.14,26045.20,25515.29,36149.95
Baseline,125327.86,91500.26,34033.49,26553.51,220769.92
Baseline,8065.99,4850.24,4902.21,17249.69,166390.80
Baseline,8413.49,23846.05,8780.12,24566.05,198466.57
Baseline,25086.27,43835.93,7760.61,21187.95,248725.55
Baseline,8196.91,10895.68,5059.69,14229.70,194255.82
Baseline,23920.29,32972.08,22900.73,49256.62,226442.20
Baseline,7696.30,7190.89,2681.20,12206.10,167820.53
Baseline,2225.02,3821.63,9415.25,15943.00,167891.65
Baseline,2130.46,5491.52,4152.46,12280.72,182158.83
Baseline,15697.45,23467.87,9662.23,17162.00,230913.11
Baseline,39291.49,48544.72,12565.62,19665.81,181741.43
Baseline,37228.21,45789.30,15824.83,18538.72,188250.47
Baseline,7210.33,6535.75,3071.23,15580.70,165626.11
Baseline,26686.69,13768.13,16223.76,27871.86,168601.19
Baseline,2033.59,4092.43,3415.98,11500.79,200579.49
Baseline,5402.67,7463.11,6048.73,11514.86,213406.77
Baseline,9947.08,17332.48,6304.59,15244.42,217892.12
Baseline,5319.37,4918.25,3856.70,9779.48,189764.89
Baseline,5325.15,4729.89,3716.41,13638.95,206240.68
Baseline,17819.30,14127.48,9280.00,18854.31,227714.47
Baseline,8922.01,10649.65,7518.44,14665.08,94763.92
Baseline,95519.69,112171.25,27361.57,49203.94,275745.31
Baseline,9786.30,12511.20,6859.92,14974.84,241821.08
Baseline,2846.55,5077.91,4247.40,4502.84,32402.25
Baseline,68047.19,36106.25,13059.84,18727.98,337419.89
Baseline,35669.68,60732.14,23595.06,37909.96,393727.22
Baseline,5270.07,12570.31,18576.45,19613.28,233642.01
Baseline,58484.12,48945.78,9071.03,19346.42,282467.64
Baseline,8373.66,8051.51,4948.29,11500.62,286183.38
Baseline,7924.76,5188.78,4353.52,18264.50,286168.40
Baseline,1093.34,10417.94,10737.21,20272.80,306206.23
Baseline,8630.51,7081.20,2596.33,11016.92,257305.23
Baseline,5481.45,6579.11,5585.77,9628.43,254157.94
Baseline,8302.79,8799.43,3490.81,11642.89,259420.82
Baseline,19254.80,10314.58,6947.65,16227.30,259281.70
Baseline,6812.16,4821.79,10008.10,12202.83,263869.12
Baseline,3766.17,5176.58,6735.07,13034.77,251829.04
Baseline,4908.05,7117.69,7101.76,14448.34,252045.11
Baseline,3290.40,6184.07,5782.84,11681.64,257018.37
Baseline,5140.68,6156.32,5577.96,12830.75,255053.26
Baseline,6245.86,7618.36,6043.79,13901.47,262857.01
Baseline,6659.66,7443.23,2210.93,11774.08,256134.73
Baseline,8380.86,10219.13,7136.49,13257.77,249827.46
Baseline,4221.49,6760.74,3005.51,14225.00,265650.29
Baseline,5946.16,9604.59,6606.15,14513.67,258578.16
Baseline,4765.28,3460.29,6777.80,13475.39,283768.46
Baseline,3995.84,4255.28,3553.70,11424.67,258301.63
Baseline,52456.34,35053.69,17341.61,25143.55,321327.89
Baseline,54359.83,82222.56,18666.78,18490.67,281758.10
Baseline,89916.47,34636.63,19572.04,33297.37,284115.82
Baseline,25017.87,17342.02,9449.65,28353.84,273307.09
Baseline,21889.79,19119.99,11502.48,19583.18,284974.19
Baseline,29863.88,12669.72,9048.22,14508.87,323684.83
Baseline,11063.94,11426.79,8146.33,10092.93,374587.72
Baseline,5492.93,12609.55,10471.18,12746.76,367971.30
Baseline,9815.56,8281.92,5836.27,9111.83,359743.31
Baseline,21784.54,11234.62,8301.59,11604.36,363590.37
Baseline,18803.94,42580.11,29354.94,14825.98,455681.21
Baseline,7818.98,6252.63,3821.75,8790.65,370199.47
Baseline,12791.60,21048.48,7057.85,13961.33,384303.85
Baseline,7397.50,5562.59,6149.33,11282.90,355934.55
Baseline,7044.19,9545.39,7014.02,18031.39,347455.45
Baseline,10127.06,8046.95,5565.78,10899.42,342625.36
Baseline,16006.46,10285.53,10547.27,17531.50,360761.19
Baseline,16538.34,21196.61,11707.98,30412.08,454524.13
Baseline,39363.19,18801.08,7837.31,12660.94,488947.23
Baseline,45507.50,22500.64,12289.33,12729.65,454564.01
Baseline,17250.05,8423.90,6966.56,8831.84,389567.05
Baseline,7166.28,7081.92,3717.26,7984.57,366378.91
Baseline,20831.41,22551.08,16895.46,25694.26,431234.16
Baseline,11046.11,9880.24,7959.93,10996.28,396046.04
Baseline,18933.93,15322.11,11148.17,15391.92,380216.08
Baseline,4108.80,4302.84,3942.16,8517.69,371292.00
Baseline,14858.69,13984.48,3598.84,11547.03,396334.59
Baseline,10408.23,1937.29,1826.13,7580.13,383154.17
Baseline,16397.25,21875.27,6623.73,6984.58,415689.27
Baseline,8817.75,7133.26,5326.16,12395.78,305957.15
Baseline,51330.16,76561.23,32536.71,15066.72,480195.48
Baseline,6438.09,5180.01,5727.00,11116.37,334431.05
Baseline,13142.47,3538.33,5379.97,18370.61,312909.85
Baseline,10005.14,7790.54,12092.72,18213.43,350738.27
Baseline,5286.30,12291.97,9033.38,17727.21,240821.85
Baseline,19503.02,22420.36,10194.51,14392.98,216035.71
Baseline,59533.86,86379.78,13821.93,19718.14,274545.22
Baseline,13102.67,25300.92,10319.61,46990.79,320000.49
Baseline,7546.38,3674.14,2812.46,13273.58,209979.64
Baseline,9112.94,8313.66,7537.39,14127.14,217737.67
Baseline,20234.11,13758.56,10783.25,15218.94,222619.29
Baseline,71292.96,22325.49,22032.36,38139.57,264251.69
Baseline,116331.33,90821.73,7186.64,17225.43,337475.06
Baseline,23663.17,67736.02,20297.13,17599.19,374237.14
Baseline,20355.09,39712.48,13039.72,12511.63,337142.53
Baseline,10477.03,6223.87,6844.64,14987.60,308704.72
Baseline,11401.14,10085.43,10941.85,13362.00,306677.20
Baseline,8387.03,7617.70,5091.58,9638.00,289584.94
Baseline,3576.96,5085.70,3904.11,14819.95,306460.68
Baseline,14265.96,19832.08,7226.72,11932.00,328976.29
Baseline,4375.92,9351.60,6057.29,12957.21,206946.56
Baseline,6012.76,12898.00,7434.45,17928.39,227648.28
Baseline,31481.24,22925.08,24215.91,25711.57,299889.43
Baseline,7481.20,3641.42,4791.72,15578.29,357497.11
Baseline,13246.20,12208.77,12920.79,20377.87,266625.91
Baseline,6757.67,7526.99,6399.72,13593.16,279594.69
Baseline,10294.86,4185.80,5228.27,14257.44,292569.15
Baseline,8997.22,9757.36,12821.63,12909.15,336319.36
Baseline,8470.41,4299.29,4581.98,15645.00,300226.38
Baseline,8543.69,3302.77,4114.08,13357.87,302077.53
Baseline,7697.09,3277.06,5396.13,9104.48,309971.92
Baseline,15858.17,18929.12,13220.83,15399.35,328412.78
Baseline,21284.19,19303.81,11468.42,14565.63,339827.01
Baseline,10181.48,6998.52,5210.43,13934.34,288553.56
Baseline,23377.07,13964.01,5005.95,10167.67,287763.69
Baseline,30550.22,32750.91,19918.86,23948.18,384772.61
Baseline,3887.04,12066.38,6486.30,15670.50,356838.03
Baseline,9788.58,6725.10,3911.80,9417.80,334526.33
Baseline,18000.43,28963.90,7688.31,12599.61,396282.25
Baseline,2130.52,7746.87,5439.45,14895.35,265576.27
Baseline,6795.61,7629.54,3138.52,11732.13,240980.23
Baseline,64936.03,40513.30,12908.19,21652.42,372175.75
Baseline,10563.53,9259.68,3211.07,21481.21,364204.02
Baseline,11026.39,6603.56,5866.64,10873.88,326444.36
Baseline,8005.82,6692.72,7909.45,16718.39,333421.07
Baseline,11957.59,11235.23,5959.23,11790.15,334807.04
Baseline,7211.02,6490.33,5380.01,14192.93,331041.75
Baseline,7446.61,5790.44,6321.72,11820.57,365245.84
Baseline,78805.93,85161.95,17941.63,18556.61,426217.79
Baseline,7086.71,7121.93,5098.46,13899.61,235372.78
Baseline,1971.59,6290.14,6691.08,14494.78,278666.60
Baseline,15034.62,6260.35,7485.67,17951.45,271386.91
Baseline,8273.03,9914.73,8406.76,6861.46,261478.12
Baseline,6830.15,4589.11,4920.62,10695.99,207453.76
Baseline,7015.18,3835.49,6548.25,13231.19,289715.60
Baseline,85847.28,62415.36,21262.38,27942.23,373712.06
Baseline,13631.68,17267.54,7637.18,18319.09,367386.69
Baseline,72560.68,57240.80,13275.63,18282.80,434773.28
Baseline,8205.59,8867.10,6959.75,15499.80,281414.28
Baseline,38866.46,29361.10,10663.47,14997.94,289543.54
Baseline,20868.60,7841.11,12051.27,105200.73,541347.84
Baseline,77034.99,74199.66,20385.07,19163.88,462531.81
Baseline,11026.22,7553.80,4471.65,9928.77,279918.18
Baseline,7594.30,5726.24,5012.63,17672.89,266720.32
Baseline,31442.04,24359.44,14013.95,26840.72,199916.60
Baseline,90559.41,94129.71,50728.70,97079.62,519920.95
Baseline,10767.92,9968.39,6708.27,11734.47,354417.92
Baseline,17792.08,28632.10,8954.49,14360.19,370676.42
Baseline,18290.95,13665.57,8048.82,19366.75,344427.81
Baseline,11301.32,6730.32,6990.18,15514.96,275944.67
Baseline,13065.21,5678.51,3703.14,13850.98,250710.78
Baseline,26048.28,33614.68,8475.71,16300.49,256889.34
Baseline,6712.05,14185.58,8762.22,18297.25,342651.89
Baseline,9420.84,12046.31,5590.64,14769.48,310509.79
Baseline,13081.81,7275.12,5174.43,15182.77,310611.19
Baseline,18877.28,9026.79,4043.41,10523.94,274226.05
Baseline,34841.63,36518.03,18073.31,16029.48,332595.34
Baseline,88926.62,52817.64,18853.74,13695.30,339246.31
Baseline,9336.54,5859.46,7257.08,15484.59,250951.45
Baseline,3874.95,5107.27,6766.38,14468.03,244286.81
Baseline,4189.46,4181.36,4111.68,17486.32,243864.33
Baseline,2569.08,4234.16,2287.14,10355.00,255147.83
Baseline,14282.55,5712.58,6491.91,12154.50,246388.51
Baseline,16778.94,6273.55,4864.06,10565.87,238516.93
Baseline,2675.96,2983.81,3362.57,13778.93,249211.38
Baseline,41854.05,32295.17,3905.07,16295.66,283140.92
Baseline,16654.99,5883.62,11268.22,18873.46,339397.85
Baseline,18711.91,17037.83,7705.97,16644.10,311603.21
Baseline,9396.32,5255.72,5079.97,15490.43,290763.61
Baseline,21245.76,8623.04,7891.84,13771.61,329369.71
Baseline,16991.66,8169.37,4549.61,18315.65,323444.82
Baseline,7989.27,4472.34,5038.24,14723.09,361534.93
Baseline,12142.78,4464.17,5248.19,13009.53,316244.27
Baseline,29559.63,14026.23,5868.48,13437.45,276682.65
Baseline,6314.92,7830.61,3631.19,14756.92,235801.07
Baseline,41462.98,43090.32,14297.65,65643.22,366153.62
Baseline,19545.68,39720.86,13654.78,19599.37,184709.33
Baseline,20364.88,30320.69,26862.85,35973.70,248665.63
Stressed,63567.78,92691.26,29111.73,55892.22,157311.29
Stressed,73058.06,39889.38,21583.32,28933.02,109099.41
Stressed,18689.49,18105.87,11596.22,36209.78,101886.29
Stressed,13787.75,27640.08,16900.71,27558.64,89176.84
Stressed,43080.42,28905.17,10103.50,27216.50,91644.41
Stressed,54520.39,39018.24,15304.75,28991.34,129494.42
Stressed,17006.32,12928.58,9913.66,20986.11,86188.24
Stressed,28343.58,51181.48,33791.94,44631.38,146379.99
Stressed,25970.47,16732.54,23668.41,78432.37,160707.69
Stressed,11029.79,12285.64,10767.67,17885.88,87988.23
Stressed,16030.96,29098.32,14598.21,72869.26,145688.08
Stressed,10131.38,19755.30,31774.53,32779.06,177914.03
Stressed,27238.51,65169.65,34273.24,114281.26,207725.15
Stressed,12498.55,17616.16,21681.97,30656.65,157284.97
Stressed,34842.15,49501.37,43535.47,70907.41,159819.52
Stressed,34021.11,37648.43,17343.64,21993.74,212045.64
Stressed,33278.99,34024.39,17964.16,38174.33,241857.69
Stressed,46085.53,31064.51,16064.52,29126.51,218810.72
Stressed,11924.20,19104.05,36993.52,45382.55,188708.29
Stressed,47788.43,46971.75,33980.57,49797.67,216088.23
Stressed,49892.24,47563.91,18366.76,26881.97,163506.25
Stressed,18524.19,36187.31,40882.03,48375.23,170186.50
Stressed,13615.54,21245.59,20097.74,19725.76,161914.76
Stressed,10599.76,32000.52,10862.72,30335.31,213429.87
Stressed,55957.36,36786.64,17309.05,23267.69,141082.68
Stressed,6448.04,11029.05,10033.35,20262.38,141359.63
Stressed,17561.87,22604.52,13165.66,30217.81,137337.56
Stressed,33524.89,21240.71,7529.48,13253.56,199011.58
Stressed,11991.86,7971.17,7435.24,17534.95,202700.05
Stressed,5009.21,14679.62,12248.40,20366.31,214198.20
Stressed,4922.07,8868.65,8298.10,19469.54,209845.89
Stressed,18677.97,11919.65,6645.64,16368.75,212710.51
Stressed,11994.33,7672.03,16844.72,19278.08,206829.92
Stressed,7106.92,17848.20,7299.69,17344.37,177213.95
Stressed,17283.65,13350.30,7868.90,24262.22,123118.89
Stressed,33419.26,30406.55,5851.75,21238.19,203611.43
Stressed,5959.73,13096.49,10230.53,15179.79,138821.59
Stressed,11740.00,16213.69,13997.53,16979.56,155038.79
Stressed,36826.35,35955.82,16088.51,19345.57,190069.00
Stressed,14335.09,27503.61,14228.05,22437.62,168807.46
Stressed,20871.20,9018.24,7683.47,25219.64,188944.06
Stressed,19733.31,19380.56,13740.38,19931.03,165399.22
Stressed,20339.18,25982.31,11755.41,23494.39,154510.67
Stressed,13071.57,15679.95,14568.47,26505.28,136717.40
Stressed,4262.09,14822.21,5711.63,19674.53,151478.78
Stressed,30843.86,23162.10,17955.16,21837.60,157684.38
Stressed,14803.57,25023.00,10648.84,21985.23,181846.23
Stressed,39306.57,16432.13,19309.60,26851.43,171907.47
Stressed,9762.99,10243.16,9432.07,16427.20,181021.72
Stressed,20763.94,22735.82,11827.69,31440.28,188021.37
Stressed,18311.80,27415.52,20624.04,19705.85,195473.94
Stressed,19078.68,16562.50,5993.18,20467.69,158479.61
Stressed,27346.62,34638.73,15993.79,24813.66,173720.49
Stressed,7775.86,17171.69,9241.15,18169.24,123474.78
Stressed,24956.00,17708.61,13577.11,15050.48,328569.35
Stressed,33182.78,15768.79,10268.30,23724.57,158738.63
Stressed,7214.70,11478.37,3229.30,15057.93,109622.75
Stressed,6682.58,17232.70,8463.14,15849.06,105910.25
Stressed,5479.23,9729.47,9467.64,20924.70,119033.33
Stressed,17547.58,26156.91,17447.70,40672.82,81590.44
Stressed,8991.82,8302.13,11139.18,20661.05,112024.68
Stressed,7881.09,8484.88,8294.71,19565.54,207238.70
Stressed,8798.08,22147.92,8682.05,18356.27,118680.79
Stressed,17300.47,15947.32,9401.58,16073.29,132262.11
Stressed,6635.30,9347.99,5548.72,20361.50,131314.05
Stressed,10336.77,15201.97,11801.67,19785.36,129823.28
Stressed,8950.22,5616.00,7073.30,17635.07,132817.69
Stressed,8574.78,8100.84,7449.83,18202.59,125840.50
Stressed,6315.59,4578.49,9282.36,14422.64,125505.28
Stressed,43906.41,19346.12,12216.71,26104.34,128930.44
Stressed,7111.66,8168.81,9442.61,15174.80,119822.49
Stressed,7635.28,18968.74,10142.70,19160.92,108994.36
Stressed,14934.29,13930.81,12646.03,19686.70,100493.82
Stressed,4574.90,5397.97,12625.61,11453.47,101762.55
Stressed,17208.07,7028.23,8899.64,13140.41,106559.06
Stressed,12723.80,17976.29,10077.29,17722.23,114612.30
Stressed,9213.22,13114.71,7633.48,19102.81,97419.90
Stressed,5827.73,16409.37,6352.30,12954.75,91487.47
Stressed,9998.47,25308.78,11697.70,19300.66,104350.84
Stressed,16502.00,20201.28,4597.68,22684.30,108982.13
Stressed,4993.41,8363.22,7845.74,14234.41,105943.48
Stressed,38429.05,31746.57,14619.49,23951.26,118581.77
Stressed,7106.54,9926.59,5514.49,16310.52,104838.55
Stressed,5908.35,13065.25,6887.30,26526.50,122659.72
Stressed,9599.93,10894.51,13871.23,15489.16,126583.39
Stressed,11932.35,12479.07,10420.63,20282.91,109635.25
Stressed,6628.18,18144.19,16868.89,20174.52,118953.82
Stressed,9292.67,15122.55,12274.23,19125.24,121110.81
Stressed,23313.68,19129.15,13091.26,9127.78,214219.51
Stressed,7274.94,5211.80,5326.08,10974.70,296005.35
Stressed,21334.81,22936.68,14846.76,10281.66,306069.10
Stressed,9945.81,3808.93,5823.20,13084.58,290593.24
Stressed,12503.95,7490.31,9453.75,11093.25,311181.61
Stressed,10596.71,4019.22,6362.07,11062.72,294774.86
Stressed,12927.97,4634.75,5659.13,11708.89,307181.09
Stressed,5524.01,6984.75,5770.24,16293.31,295369.20
Stressed,8571.64,6914.84,4249.91,14068.73,303755.64
Stressed,16725.12,12240.06,5530.24,13283.92,307857.38
Stressed,11387.66,12374.92,4465.39,12639.89,295048.81
Stressed,9526.23,12809.05,7402.69,16815.65,199776.66
Stressed,15139.69,35251.76,10071.29,21293.00,272399.26
Stressed,84818.29,79119.06,21052.53,55275.11,330126.88
Stressed,17980.96,20238.48,9741.72,15211.88,296154.78
Stressed,21460.76,32798.67,17317.11,24734.99,407793.73
Stressed,65902.76,24816.23,16877.61,25587.38,303380.16
Stressed,23981.63,34036.46,20750.88,28296.72,199608.14
Stressed,27135.38,21162.69,15006.89,27358.17,186023.03
Stressed,19702.63,12996.28,11308.04,26507.07,136291.79
Stressed,5019.18,20233.10,12235.20,29017.37,147823.76
Stressed,33990.14,38311.33,14834.31,47195.02,158198.54
Stressed,10593.95,8945.21,4912.00,5361.97,54490.44
Stressed,60133.10,50678.59,19618.31,17674.07,327195.31
Stressed,33931.40,29703.00,17701.18,12770.85,321719.05
Stressed,43378.41,18217.03,16376.45,19954.36,333383.99
Stressed,24158.39,34973.05,14627.55,72772.62,273849.77
Stressed,86031.16,47744.77,43252.31,70505.10,170144.63
Stressed,64546.31,100489.76,49912.52,78360.53,148409.25
Stressed,118835.39,151288.16,147210.26,154839.93,244828.08
Stressed,54428.24,75519.90,53805.89,73805.22,248545.72
Stressed,41401.97,58431.04,21910.20,57255.27,183714.67
Stressed,80702.75,38343.53,17869.35,28897.74,194846.01
Stressed,10466.99,30479.70,19562.42,28484.96,110066.60
Stressed,79779.73,36806.75,19843.44,24993.19,55602.31
Stressed,20373.12,43361.01,13825.54,22455.27,87443.26
Stressed,25187.21,35596.07,17733.54,32853.59,173102.34
Stressed,2992.54,10352.12,7094.59,20050.47,89794.71
Stressed,5918.38,7175.61,14413.93,19669.31,128856.18
Stressed,11511.26,3618.06,6324.39,17112.30,131473.97
Stressed,20231.61,42035.73,28601.64,36399.06,103310.20
Stressed,3478.40,11233.51,6824.46,22379.84,164893.35
Stressed,20255.58,13662.06,14480.83,21976.09,149465.78
Stressed,20422.16,26863.74,6991.86,13460.36,104154.89
Stressed,3880.21,6061.03,4409.48,15450.33,94533.17
Stressed,5707.46,3426.32,6129.47,14694.34,84921.14
Stressed,24011.52,27932.80,8070.71,15571.10,129751.61
Stressed,5820.74,6150.14,7489.66,16337.68,132699.71
Stressed,8263.82,6730.88,13395.98,14299.39,137327.55
Stressed,6224.51,4812.37,8809.84,17223.02,153884.24
Stressed,3297.34,8261.33,6181.64,12461.83,87159.08
Stressed,7445.10,5785.35,3700.69,13251.27,143282.02
Stressed,7485.47,10185.26,11673.84,18490.24,85440.25
Stressed,13542.77,20936.46,13792.05,12345.73,103875.65
Stressed,6012.37,10153.58,8261.82,14760.62,113363.23
Stressed,7672.31,7283.17,5120.18,16657.93,87457.22
Stressed,3896.11,4800.35,4769.68,10440.00,93597.53
Stressed,15935.61,10937.56,11033.30,16664.48,107258.41
Stressed,17606.65,19801.08,7684.58,15906.81,161553.47
Stressed,9276.63,10220.02,4865.63,16220.69,145214.37
Stressed,7973.35,6737.71,4945.10,15416.27,124104.44
Stressed,10723.96,13949.79,8881.82,19134.92,145784.49
Stressed,5805.46,14339.41,7308.29,15512.80,133208.30
Stressed,9929.00,10446.53,7154.50,21315.24,158077.68
Stressed,13329.94,12973.99,10310.02,13009.76,85905.84
Stressed,14936.90,23560.93,11715.00,17832.89,107835.97
Stressed,10390.89,14731.71,5172.08,15652.70,84154.86
Stressed,11681.41,7037.15,6835.74,17392.56,86347.82
Stressed,6204.19,7578.30,4807.32,13564.39,84896.81
Stressed,4946.61,4219.22,8742.55,15173.56,79092.06
Stressed,6348.43,3714.81,6284.32,19557.58,101205.89
Stressed,8930.02,9728.47,9527.20,23036.26,91339.81
Stressed,10639.18,8113.61,11589.94,19153.38,94350.66
Stressed,18450.39,22522.75,13390.49,23069.36,140324.46
Stressed,8453.05,8504.55,8463.97,19014.86,151843.34
Stressed,9385.50,11718.91,3544.39,8212.06,18741.81
Stressed,17036.14,19190.34,12609.28,23595.15,120570.93
Stressed,56195.84,31085.54,13905.28,20416.42,129495.57
