State,Delta,Theta,Alpha,Beta,Gamma
Baseline,4427.38,8811.91,7233.30,14823.93,138222.16
Baseline,10134.66,7163.47,8815.77,9698.74,143066.39
Baseline,4512.65,6178.10,6856.20,13222.85,151578.93
Baseline,3987.31,7305.64,12946.00,11535.92,142674.20
Baseline,4742.27,10614.30,7571.26,15370.59,141780.35
Baseline,8944.60,4788.07,8266.81,21635.92,141388.19
Baseline,4922.86,6016.01,9023.55,17301.59,138006.71
Baseline,14042.75,8764.45,14570.78,15594.80,143884.50
Baseline,7485.51,8465.66,7575.21,16717.44,146019.21
Baseline,5991.04,9128.79,9232.78,14312.00,143895.26
Baseline,9433.27,6351.11,6190.73,18366.65,148759.99
Baseline,19839.64,10020.90,8198.00,12737.01,142017.73
Baseline,10236.17,10941.31,9320.80,14622.06,159438.12
Baseline,6378.20,6778.67,13479.10,15302.49,153963.52
Baseline,13659.91,13359.37,8581.95,19105.91,147777.60
Baseline,4509.67,3920.52,6675.88,11955.25,153527.47
Baseline,6839.08,12082.08,9094.58,18294.95,151841.07
Baseline,2302.11,10069.71,7237.33,15091.49,151336.72
Baseline,49019.08,37207.11,10131.68,39446.07,228777.01
Baseline,10453.22,12465.74,6023.08,37629.27,217505.29
Baseline,18763.14,33139.29,18313.59,54706.78,299093.22
Baseline,38075.17,28491.78,21629.18,32422.98,161269.80
Baseline,10627.71,7722.46,7955.23,18285.22,159433.46
Baseline,8213.81,6483.94,10445.41,22737.96,170624.85
Baseline,5541.63,9495.51,3584.28,14252.48,137875.66
Baseline,6167.56,5974.53,6331.43,13518.32,153531.04
Baseline,7634.53,6494.86,6453.54,29952.52,192520.48
Baseline,7921.33,6147.43,10152.54,32780.55,222807.69
Baseline,6850.99,4037.36,5052.60,39775.22,204140.41
Baseline,9713.25,6062.01,4547.80,26844.84,176153.84
Baseline,6682.98,3952.35,4123.79,27764.85,172183.21
Baseline,8913.71,6482.39,6654.83,25885.33,191421.11
Baseline,23317.02,15011.50,8795.07,23927.02,151457.48
Baseline,12480.49,19218.35,15904.65,36009.92,187837.50
Baseline,4160.74,2225.37,3444.33,20558.59,164378.64
Baseline,18660.58,14168.55,14307.47,28032.85,178593.93
Baseline,6998.38,5159.38,9128.44,19005.58,150484.16
Baseline,9782.65,9843.10,5289.13,18890.81,143967.15
Baseline,7716.79,8327.77,7060.96,13377.94,135601.05
Baseline,8417.39,7394.90,4125.95,14815.04,136357.95
Baseline,8887.30,6762.62,11353.16,18550.87,143602.10
Baseline,5711.75,9009.21,2332.72,17769.77,142724.10
Baseline,7513.76,10987.29,8469.62,15410.55,146620.79
Baseline,4933.43,7100.02,9874.60,26870.55,138460.05
Baseline,6285.86,8325.12,5303.32,15144.32,153686.87
Baseline,9458.83,10999.20,7109.87,19432.98,156742.78
Baseline,6996.94,12136.58,10382.31,18982.06,186113.56
Baseline,8914.39,15176.46,7734.37,18848.67,188729.27
Baseline,8275.22,7106.50,6959.71,20371.50,211696.01
Baseline,6760.42,9867.15,8564.17,17390.55,202755.65
Baseline,5588.15,8659.34,12487.42,23154.40,136270.65
Baseline,8226.10,11760.59,11029.31,54097.99,226667.60
Baseline,20130.00,8276.14,5125.26,17689.65,120523.11
Baseline,1842.77,7347.99,9079.01,11272.28,121029.17
Baseline,4946.78,3819.05,5707.79,17061.42,129391.73
Baseline,10094.89,6408.54,8987.39,22591.17,122982.45
Baseline,27502.14,37259.54,18044.59,18629.94,128253.89
Baseline,10589.58,8627.82,7465.72,10790.49,112102.42
Baseline,7916.23,4732.81,4145.89,17747.96,117540.12
Baseline,10538.01,14363.76,17042.88,16349.31,161939.00
Baseline,29869.44,33451.33,11077.26,25278.84,170776.36
Baseline,8831.73,5079.24,9714.35,15658.62,153184.97
Baseline,1871.58,4776.22,5917.10,16845.45,216896.77
Baseline,1823.14,7974.33,5588.53,12101.47,200570.63
Baseline,6612.87,5722.65,2484.00,11031.94,203155.62
Baseline,2709.62,2698.14,5471.34,10234.19,196199.11
Baseline,3252.93,5272.27,5092.28,10643.12,201160.70
Baseline,4213.38,6510.90,4697.84,11418.74,198380.89
Baseline,5271.35,3618.00,4868.80,10822.36,192084.88
Baseline,6772.25,5148.49,4958.77,12881.85,199027.36
Baseline,5230.87,3475.22,4489.34,11655.76,197875.31
Baseline,2072.62,3175.37,3906.20,8125.13,201719.10
Baseline,4354.62,5618.90,4893.27,8380.18,197093.77
Baseline,5775.40,10662.79,4914.26,12528.44,196900.94
Baseline,4538.78,4095.37,4875.87,15793.45,210014.22
Baseline,5667.28,6371.94,4588.78,16445.00,206024.46
Baseline,2637.93,4980.25,5699.64,9075.84,197312.29
Baseline,8301.20,8242.25,3657.35,10058.16,196877.83
Baseline,2408.41,5549.64,5831.60,13016.07,199893.88
Baseline,5962.10,6671.19,5375.76,14323.72,200518.26
Baseline,31770.83,19154.90,3424.76,12390.73,215520.48
Baseline,13333.83,19491.71,9990.76,15016.84,203801.51
Baseline,3581.73,4759.90,7709.36,13787.72,198304.99
Baseline,7846.78,15480.58,6467.66,12323.30,205370.78
Baseline,3492.39,7214.21,6139.15,11855.70,201664.65
Baseline,15423.54,7914.37,10134.51,21519.67,208857.23
Baseline,5479.28,5080.40,6041.64,10968.64,206229.05
Baseline,18839.56,16769.86,8372.75,15886.23,170540.89
Baseline,10758.30,10849.38,9819.64,11154.03,165137.50
Baseline,20941.93,9023.12,6413.56,18843.40,136757.32
Baseline,8865.47,11944.72,6088.64,15752.33,101225.99
Baseline,5194.05,6495.96,7099.59,13714.06,108504.40
Baseline,15966.99,9976.04,9123.42,16261.06,113995.22
Baseline,40931.32,40725.69,30380.26,23109.30,124583.66
Baseline,38709.37,107788.17,23918.84,48883.96,152130.09
Baseline,19602.66,32765.47,38016.55,23945.86,139407.39
Baseline,15246.57,14003.14,9538.52,19641.26,140520.28
Baseline,55789.37,61623.56,59515.15,48752.65,122984.83
Baseline,6593.29,8844.48,8835.31,11262.17,149011.66
Baseline,5856.77,6449.21,6313.75,12802.38,139969.89
Baseline,6090.07,6348.38,10170.87,12216.01,136499.05
Baseline,6970.45,18423.52,7217.35,15999.79,138593.17
Baseline,8106.97,16844.62,8327.16,14994.50,135999.63
Baseline,2798.48,13603.53,9712.57,15107.69,132775.10
Baseline,8589.27,12897.62,6692.28,14306.53,137884.71
Baseline,21830.87,5859.72,9485.83,13843.23,129189.86
Baseline,25302.23,23112.02,13275.62,13871.08,131493.51
Baseline,8337.64,5704.94,7069.61,11560.05,131158.25
Baseline,11232.09,4672.95,3992.57,12117.64,113242.12
Baseline,12007.06,6496.74,6823.44,14977.51,115612.68
Baseline,35385.10,11870.76,4069.14,12940.72,110259.25
Baseline,7002.51,8548.18,8340.29,15977.88,134348.60
Baseline,3917.16,8439.57,9632.93,19255.72,157674.07
Baseline,3571.04,7702.15,9407.02,23541.44,141343.27
Baseline,9940.45,18571.86,19809.85,21040.90,142195.73
Baseline,11897.75,8455.93,8391.84,14080.05,118726.17
Baseline,10551.85,25692.02,13998.55,26989.19,130305.02
Baseline,5936.55,8258.22,9545.03,16850.23,132229.71
Baseline,2538.51,4973.21,3655.32,14775.57,129239.63
Baseline,5675.18,7522.24,3739.32,14475.07,126851.36
Baseline,7462.67,7494.28,9774.76,15456.88,125554.98
Baseline,22509.54,22572.64,11948.23,21480.48,116899.68
Baseline,20507.60,22161.45,8974.03,13148.91,110231.09
Baseline,22915.25,20337.93,13926.90,13704.81,136468.27
Baseline,7113.80,11311.47,11381.74,15512.08,143457.93
Baseline,40691.85,32618.57,9227.42,17988.69,118831.94
Baseline,7925.66,7298.99,6091.83,14735.49,146362.14
Baseline,8244.27,11769.78,8268.84,14124.56,137581.78
Baseline,4822.33,6311.64,8173.33,15839.64,117761.76
Baseline,19001.98,13814.95,16582.24,14299.11,108750.87
Baseline,14989.17,8657.61,10163.71,20037.02,109221.45
Baseline,9465.72,7638.69,7061.41,15394.80,125048.28
Baseline,25161.53,18791.58,8666.81,13649.60,134463.12
Baseline,4934.49,9340.15,11099.75,14077.24,142500.96
Baseline,6862.26,8925.96,6159.09,14829.90,132015.31
Baseline,24143.17,6410.44,6673.15,14261.47,134911.81
Baseline,7158.30,8496.74,5831.37,18121.55,134937.60
Baseline,47036.66,45008.12,17566.37,55026.31,296563.57
Baseline,16198.40,28145.07,26333.74,36562.90,50725.11
Baseline,871.93,299.38,101.91,86.92,41.00
Baseline,871.93,299.38,101.91,86.92,41.00
Baseline,871.93,299.38,101.91,86.92,41.00
Baseline,16260.69,19726.76,14079.74,15258.58,119920.56
Baseline,10402.86,12943.02,9684.97,20647.00,115884.10
Baseline,12943.97,10136.13,6655.98,14455.01,105241.40
Baseline,10674.98,10885.15,7163.95,14289.88,103625.96
Baseline,10944.06,12556.56,12024.55,17527.82,109976.78
Baseline,13533.56,8421.50,6532.36,14459.22,111029.40
Baseline,8174.69,9107.93,8700.23,16356.60,98477.61
Baseline,52636.87,37037.04,23840.68,29743.97,140099.37
Baseline,871.93,299.38,101.91,86.92,41.00
Baseline,24500.74,21036.34,9572.65,10984.21,112182.37
Baseline,29983.86,19660.94,16091.52,24871.37,100191.63
Baseline,7674.00,8777.27,5392.40,13949.50,93916.92
Baseline,16709.23,20410.30,6389.14,17482.14,89741.62
Baseline,6425.60,8923.88,5652.70,10791.02,85122.96
Baseline,6867.03,6892.01,5316.25,13480.36,93889.45
Baseline,10140.15,4409.69,9294.22,14224.66,89770.72
Baseline,8039.31,14780.34,12440.47,13245.46,105678.54
Baseline,1628.54,1493.92,1124.77,3778.36,21399.31
Baseline,75917.88,20215.31,10020.76,17150.06,118789.07
Baseline,59830.86,29507.39,15782.05,13587.17,154268.01
Baseline,23276.06,16936.71,18296.26,22871.01,130936.37
Baseline,25792.92,12934.62,9216.48,17251.59,86725.50
Baseline,20431.95,13305.47,10180.34,12834.71,84632.98
Baseline,25397.52,29737.72,21276.82,39572.87,144635.94
Baseline,11476.82,4215.12,6514.52,9306.12,90006.58
Baseline,5922.88,5563.03,7422.15,14032.93,94560.33
Baseline,9750.35,7661.76,7953.14,14179.74,94977.23
Baseline,6151.95,12052.03,7286.32,15013.84,102278.20
Baseline,9654.81,2390.23,7141.34,12577.73,109283.27
Baseline,5034.24,6447.15,9431.95,12683.40,91907.19
Baseline,21708.68,35168.34,24969.96,39890.79,108029.86
Baseline,12200.67,6389.01,6369.49,14022.79,94597.24
Baseline,4125.20,3860.65,7286.06,16881.60,114932.72
Baseline,4363.77,8071.04,4492.00,29695.53,136493.37
Baseline,6311.02,5995.85,4129.02,18061.69,95738.18
Baseline,8959.65,4683.88,5148.60,16774.69,92791.42
Baseline,5779.04,3452.91,4097.52,12413.62,104918.47
Baseline,12542.23,4899.34,4764.41,13268.10,106339.66
Baseline,5641.64,7050.03,5149.74,13245.02,97420.75
Baseline,5529.77,4247.36,7499.36,12737.66,91485.98
Baseline,8276.59,5566.73,8415.86,16837.44,90957.26
Baseline,6145.58,6280.04,8266.08,11804.04,88183.47
Baseline,6741.09,7514.33,7396.86,12678.97,88399.46
Baseline,7573.46,6096.93,4789.19,17423.67,93053.12
Baseline,6369.07,8416.55,5925.28,15489.33,91048.70
Baseline,3464.88,3743.22,6775.72,14704.54,90913.98
Baseline,6478.60,12689.14,6520.53,11909.48,98220.57
Baseline,3484.08,5425.06,3210.25,23491.74,107896.95
Baseline,9707.68,8149.04,9873.32,23002.74,156020.08
Baseline,3892.94,5617.78,5593.45,21332.54,98318.10
Baseline,6188.78,3969.48,3258.63,14417.92,87970.79
Baseline,7707.44,9568.19,5496.31,11823.94,98029.39
Baseline,3480.75,4749.17,6821.64,10279.10,89792.35
Baseline,4111.00,5482.50,6043.24,17783.72,92881.68
Baseline,8368.08,9225.40,6260.32,17183.59,150778.72
Baseline,6941.51,4439.68,4854.87,14797.72,100952.26
Baseline,5844.71,5287.40,5600.31,15952.43,112130.03
Baseline,6540.56,7672.93,9294.81,19826.68,98744.73
Baseline,7375.20,5799.86,3396.25,12078.32,99949.56
Baseline,6292.35,6459.69,4528.36,15990.06,105755.59
Baseline,6563.60,3999.20,10007.26,11829.06,113577.93
Baseline,10849.04,12106.04,7584.65,15147.24,112275.61
Baseline,9072.41,5097.84,7406.56,14564.82,103104.93
Baseline,9277.89,10738.47,3900.84,13748.76,102331.82
Baseline,8463.50,5139.27,4710.81,15159.80,100481.43
Baseline,5356.66,4715.91,5874.42,14005.25,99364.60
Baseline,11705.78,13837.44,6033.22,10560.41,106438.24
Baseline,6098.45,5504.77,5474.80,15202.54,99635.64
Baseline,4543.59,5256.16,8290.51,10337.09,92957.12
Baseline,10637.45,15118.73,7400.96,12916.92,102647.18
Baseline,6727.96,7763.80,3848.65,11814.53,93863.88
Baseline,7472.35,6949.64,9021.52,12545.03,99049.83
Baseline,10877.88,12606.83,12786.32,14288.07,104411.72
Baseline,10695.26,4780.74,9836.90,14077.67,84680.08
Baseline,9524.19,5774.23,5569.92,19245.93,96828.46
Baseline,8006.34,7466.02,6061.98,11285.27,100807.81
Baseline,22401.15,25314.57,13486.68,43904.62,208120.78
Baseline,116204.10,42144.15,39605.96,58003.95,198822.94
Baseline,8487.69,21148.52,10908.12,37690.90,159995.77
Baseline,32818.13,23037.12,10720.00,35595.58,183962.51
Baseline,10097.62,24771.23,11188.73,25347.30,125554.03
Baseline,20518.74,12880.49,11610.85,22128.82,135604.86
Baseline,5439.82,6604.79,10776.00,26388.10,138215.88
Baseline,13659.87,10273.01,6067.54,14248.22,102074.74
Baseline,4541.11,7330.55,8778.35,17279.00,115261.73
Baseline,3806.89,5429.90,7984.78,12762.03,108972.77
Baseline,5222.15,5654.51,4873.52,17577.88,119752.93
Baseline,9183.70,6376.23,9236.49,16919.54,114074.86
Baseline,41575.58,34795.46,17553.66,11813.07,104773.64
Baseline,5894.32,6704.46,7944.14,16624.57,107208.69
Baseline,13699.42,6742.28,6548.90,15704.35,90521.33
Baseline,4452.14,6612.03,4869.19,16338.72,115202.09
Baseline,2729.89,6528.29,4275.89,14877.74,116761.70
Baseline,3791.69,8714.35,8933.43,14020.11,118808.10
Baseline,3357.25,5552.36,5538.72,13899.40,96367.43
Baseline,5117.17,7478.82,10572.86,12730.15,111264.59
Baseline,3903.41,12310.13,10042.92,15639.42,120563.23
Baseline,6645.55,6044.13,9400.47,25509.50,144782.01
Baseline,7726.69,7403.29,6312.87,17690.06,133771.32
Baseline,6007.16,10069.50,6107.63,17827.89,119238.73
Baseline,12717.47,11750.26,10545.21,16648.87,128890.13
Baseline,9071.47,8935.21,4862.39,10086.70,118002.24
Baseline,6065.12,5395.32,6609.47,14597.33,109839.21
Baseline,9433.35,9730.27,7890.41,14904.86,106914.39
Baseline,4044.41,8367.53,6108.02,10619.41,95450.89
Baseline,7497.33,11108.58,5554.92,9698.38,100777.86
Baseline,8402.60,6068.70,10554.14,15595.29,106334.10
Baseline,9018.47,5500.52,3304.86,13540.71,116268.81
Baseline,2837.52,4739.04,3607.07,14458.96,104436.68
Baseline,5660.90,3194.85,6425.07,10025.69,111179.46
Baseline,5917.80,10269.58,8067.15,13121.51,124000.77
Baseline,3904.07,5124.70,7579.52,14755.99,121370.39
Baseline,1891.02,6534.02,6361.79,13462.64,106438.07
Baseline,7608.44,4003.53,9094.74,12613.02,103595.78
Baseline,13403.47,11007.31,9850.95,15515.23,124843.20
Baseline,6712.18,6814.12,5842.65,17080.10,113421.23
Baseline,5423.40,5787.42,6272.38,13225.30,114730.85
Baseline,5521.75,9727.02,6690.23,10454.79,122112.09
Baseline,5398.33,6261.04,5719.34,12271.07,89676.78
Baseline,4903.50,7688.02,4265.42,12686.06,93049.18
Baseline,4624.41,7965.80,5180.66,10528.19,95014.17
Baseline,7100.65,4547.84,4764.97,9512.22,87049.45
Baseline,6407.02,4092.97,5851.80,11527.56,101707.99
Baseline,7208.49,11993.51,8669.79,14372.23,118116.95
Baseline,6394.57,4997.24,4634.50,11559.26,103466.40
Baseline,10565.37,15953.49,13866.49,13928.05,110255.93
Baseline,6819.34,6758.62,6109.20,10581.92,123736.52
Baseline,6179.74,4805.51,4510.07,10999.53,104215.09
Baseline,5412.74,5448.89,4321.28,13218.36,109400.46
Baseline,6520.29,14154.53,9209.68,17653.96,105494.60
Baseline,6732.40,9372.41,8056.31,14933.74,107572.03
Baseline,2678.57,2221.01,4904.28,13821.11,101681.81
Baseline,3967.05,5501.53,3841.53,15737.53,117392.14
Baseline,10884.22,6263.01,5851.18,14207.33,130162.54
Baseline,2627.31,5820.24,7018.94,16020.87,119626.58
Baseline,3782.29,6924.49,4807.14,12646.94,115544.43
Baseline,5876.40,9642.66,3564.12,11807.98,117306.81
Baseline,4464.14,5420.53,9354.13,11224.51,109753.50
Baseline,4587.19,7342.29,6939.38,13362.53,117294.52
Baseline,4116.73,5381.28,1848.76,14026.63,107033.74
Baseline,4177.50,4426.25,7675.18,14764.29,105243.60
Baseline,48195.48,44464.93,38172.32,39783.50,153811.09
Baseline,8640.96,10630.06,11225.82,15989.80,125397.82
Baseline,2651.88,6981.03,8348.45,13721.62,108054.16
Baseline,5177.24,5143.41,4619.51,13899.94,97957.43
Baseline,6226.09,4981.69,8605.46,13539.40,100766.47
Baseline,7251.51,5234.62,6559.88,12061.33,103639.18
Baseline,9572.77,7122.47,7576.32,13859.48,102392.11
Baseline,8784.67,6620.55,9458.28,15889.38,104896.53
Baseline,6466.38,6414.05,2796.00,14548.08,102757.28
Baseline,5759.17,8784.18,8080.59,13400.00,102498.80
Baseline,26270.54,40318.86,50703.09,65911.35,158854.48
Baseline,5926.77,3691.74,4747.63,10499.96,91080.67
Baseline,3003.20,6865.71,4536.08,12336.04,93715.45
Baseline,5960.93,8083.20,2669.38,13419.67,107154.59
Baseline,7399.07,10103.56,3243.25,12323.92,100195.98
Baseline,845.93,6265.06,6096.98,12689.82,94460.45
Baseline,5450.76,6058.49,6243.63,14331.97,95639.17
Baseline,6314.81,8388.08,6456.14,11740.98,102406.86
Baseline,5162.84,4621.90,5298.29,14001.79,95925.87
Baseline,8139.00,3076.52,9259.63,15444.84,95574.85
Baseline,2723.31,3499.77,11366.76,18528.27,92009.49
Baseline,3053.24,8716.36,9020.61,13423.72,93916.19
Baseline,12236.01,6369.60,7494.19,9742.21,89601.17
Baseline,4919.21,5887.42,4736.33,10850.00,88313.48
Baseline,6765.74,7224.27,2382.46,11645.51,93890.64
Baseline,1730.67,6452.81,7192.56,12452.04,95414.50
Baseline,11822.48,6771.79,4451.50,8007.56,94808.62
Baseline,2981.43,5940.26,5401.70,12256.15,85494.58
Baseline,2328.34,5936.34,10111.72,10578.14,97976.03
Baseline,3467.44,5669.06,4751.97,11885.91,95635.32
Baseline,5519.69,3434.41,4992.38,11562.38,93458.87
Baseline,1944.70,5475.08,6661.50,15585.19,90819.41
Baseline,2770.84,5175.76,6047.11,13866.49,92497.78
Baseline,9327.92,8289.41,4430.88,15426.84,103134.68
Baseline,7156.16,4593.70,3598.26,11887.68,91933.72
Baseline,1786.38,6391.27,9584.86,14657.82,92749.08
Baseline,6975.37,22300.72,11406.54,16666.93,97128.14
Baseline,7630.15,5339.14,3801.42,16981.69,96987.66
Baseline,2141.31,5626.19,6023.87,15518.85,93045.53
Baseline,6786.29,10728.31,12851.37,14960.14,98286.88
Baseline,9135.00,9048.49,3181.39,11465.12,94500.70
Baseline,9496.09,10725.23,8616.46,20717.22,145550.67
Baseline,12424.70,13512.68,20327.02,25534.99,146356.33
Baseline,5617.05,7425.28,11400.89,19859.14,153930.13
Baseline,7821.96,6900.07,6657.65,13776.54,114947.85
Baseline,6735.36,10736.21,7692.01,15137.06,108244.55
Baseline,10802.18,5331.69,4875.45,14336.01,120592.13
Baseline,4780.58,5238.58,8714.55,14154.54,92152.87
Baseline,35423.93,45667.19,13168.86,35391.56,177527.05
Baseline,20524.42,11048.95,11175.63,21629.15,179788.68
Baseline,26185.62,16441.09,12689.18,15106.93,125904.73
Baseline,12679.38,9870.69,10150.76,13383.02,149178.39
Baseline,11740.59,7905.68,5567.65,16489.03,125204.67
Baseline,3232.05,7806.35,4181.31,13634.04,102018.11
Baseline,11021.75,9024.89,7631.34,14467.21,111881.77
Baseline,9743.25,8735.60,7160.74,14751.49,113450.84
Baseline,6072.08,8866.65,6307.91,14645.93,110577.03
Baseline,14418.31,23744.72,10681.96,16037.61,117860.11
Baseline,10712.21,26387.12,5896.33,18373.03,120639.38
Baseline,9979.21,4604.80,3684.08,11491.46,113728.76
Baseline,16691.94,9415.65,8437.65,27113.48,131927.24
Baseline,2841.73,8283.82,7217.45,15632.93,110917.28
Baseline,8744.84,10196.44,7445.86,14496.41,111695.13
Baseline,4885.53,10542.75,4532.80,17019.44,107957.62
Baseline,3746.11,6014.51,7475.18,13015.15,100953.13
Baseline,3094.64,7040.74,8464.15,11390.66,104006.67
Baseline,17884.43,12211.95,5097.09,15996.92,130645.14
Baseline,52526.81,21379.07,11118.04,31273.19,237740.82
Baseline,85168.80,90301.65,19232.26,33364.79,131338.01
Baseline,4934.74,12743.38,3390.77,14396.57,136680.01
Baseline,4305.03,8121.25,5622.90,10855.18,144517.62
Baseline,7419.38,12164.42,9241.49,11648.54,150052.75
Baseline,6234.51,9623.81,8876.04,15725.75,139987.95
Baseline,5363.61,8058.06,5637.74,13199.19,138680.20
Baseline,2852.38,7883.16,4198.81,13510.12,129020.25
Baseline,2951.24,5888.82,5808.79,12670.90,130217.38
Baseline,6389.02,12929.82,9326.74,11918.29,156577.58
Baseline,13734.59,14871.89,10407.93,19074.28,153133.57
Baseline,5224.17,5182.98,7561.93,10671.62,121189.34
Baseline,4850.23,9863.86,8706.39,19506.48,119961.90
Baseline,5415.78,7956.03,12535.25,17509.27,127178.11
Baseline,7183.47,10319.92,5134.74,13496.42,140100.90
Baseline,5667.90,5946.62,4936.04,17876.82,138875.87
Baseline,3895.16,6907.75,9328.72,14469.62,153317.58
Baseline,5202.66,6034.49,6892.24,12308.82,152621.24
Baseline,2792.34,6397.47,4640.43,13768.17,149922.01
Baseline,8685.45,7796.30,4290.19,10141.31,140621.70
Baseline,2782.60,5576.05,4342.34,14860.74,131132.08
Baseline,18923.03,15787.10,9763.24,13076.02,112735.54
Baseline,5794.21,7715.65,6691.79,13340.63,122223.66
Baseline,4628.76,8588.18,7772.05,15607.14,132734.82
Baseline,9493.85,19437.70,8155.96,12769.10,130619.84
Baseline,4001.42,8503.26,7363.36,10891.56,123781.20
Baseline,6775.71,5680.71,4495.24,13688.62,122867.17
Baseline,3184.32,10849.78,5932.16,13202.35,122895.34
Baseline,2902.22,4079.86,4886.95,10029.87,127260.67
Baseline,4314.62,3528.34,8041.14,10331.52,134909.58
Baseline,4771.23,16791.34,5041.58,13472.23,121467.46
Baseline,5169.79,7484.94,5786.26,14434.87,120452.48
Baseline,13909.51,7251.03,4419.56,10753.00,121657.91
Baseline,5877.08,4424.70,4375.33,13383.63,119205.43
Baseline,4085.31,7034.90,7603.61,14494.74,133813.64
Baseline,7954.10,9268.28,6365.39,11689.22,123079.18
Baseline,5679.14,2660.33,3622.66,14248.69,120995.34
Baseline,4595.40,7964.29,6549.41,10798.13,128051.58
Baseline,5225.69,5418.07,6710.91,10133.89,119145.81
Baseline,6828.47,6168.58,8241.50,20591.50,140783.43
Baseline,27929.82,12819.60,6418.18,14434.98,109942.19
Baseline,4319.33,7917.75,3688.45,12847.39,128103.45
Baseline,3535.86,9990.36,4998.89,15724.02,130769.27
Baseline,3086.87,8368.68,6803.16,15194.73,126423.75
Baseline,7244.05,6700.03,5316.36,16502.54,140358.74
Baseline,4313.76,11891.03,8461.88,17979.59,138896.33
Baseline,4139.29,5067.26,7713.25,17029.20,124037.88
Baseline,2124.55,9161.95,2835.46,13835.49,118121.55
Baseline,2381.53,3026.01,10977.43,17495.25,130424.01
Baseline,4461.03,6998.33,6524.93,15664.89,119912.24
Baseline,4974.37,6605.38,5649.97,16761.29,123886.07
Baseline,3136.66,8021.81,6027.94,16565.09,116542.44
Baseline,3448.83,6865.10,5302.05,6900.91,120155.24
Baseline,3403.89,5896.29,6325.37,15998.94,120916.06
Baseline,7434.75,5277.17,7314.56,15723.74,120255.64
Baseline,4816.90,10764.11,14317.57,12943.20,127803.54
Baseline,1386.41,4414.09,5271.64,13105.00,121652.74
Baseline,6878.11,9870.76,4244.62,12325.79,120564.26
Baseline,2318.66,4312.97,5684.97,16156.32,114190.16
Baseline,1867.93,4664.72,5471.84,12122.71,118081.36
Baseline,2872.80,4738.04,6494.49,13539.60,122421.79
Baseline,8206.36,6089.44,6204.55,13432.76,124099.47
Baseline,3026.06,9561.93,6984.46,16487.76,118830.95
Baseline,6836.18,7766.48,4897.54,11076.52,120473.42
Baseline,6476.23,8336.86,4433.17,10450.84,123918.51
Baseline,3651.53,12074.45,5647.21,15666.20,131200.31
Baseline,5555.76,9394.26,4701.48,12149.80,120137.64
Baseline,3274.54,7869.11,8260.76,12682.68,118436.29
Baseline,5270.47,8119.57,6066.64,11430.22,126008.53
Baseline,4937.75,8278.28,8173.22,10073.92,131219.44
Baseline,5865.98,15082.72,5261.68,11788.41,128039.66
Baseline,6642.85,7911.46,7113.99,11470.63,126809.23
Baseline,8139.38,8119.82,4045.83,13576.78,135410.38
Baseline,4241.42,9466.38,7948.92,16359.09,138959.73
Baseline,18211.87,15531.99,3405.28,13211.03,133999.63
Baseline,6594.04,4784.35,4978.35,11234.96,141143.58
Baseline,1390.54,7698.69,6279.24,14760.45,134542.28
Baseline,3275.33,6734.12,6038.68,14270.31,135006.39
Baseline,2990.88,4975.88,7208.40,16527.95,136512.86
Baseline,6031.93,8727.58,12878.41,14630.30,144056.37
Baseline,9609.24,7719.25,11808.40,15314.82,170471.56
Baseline,5448.85,6764.47,8516.11,14919.73,132613.16
Baseline,7139.44,8501.81,6494.38,16798.88,123588.21
Baseline,13101.64,17443.46,7862.15,9463.60,133030.89
Baseline,3478.64,6844.99,4801.98,17320.89,140722.73
Baseline,2983.53,6137.82,5706.24,11267.55,120057.14
Baseline,6408.97,6171.73,8547.81,14478.10,121155.16
Baseline,4734.58,7754.36,5987.02,11987.13,121635.10
Baseline,9597.61,10139.58,9886.11,13312.40,133383.18
Baseline,3436.92,4564.98,10448.12,11500.08,122904.14
Baseline,6252.35,7541.47,5779.70,9984.32,119397.52
Baseline,4359.12,4746.28,7461.74,14919.26,127970.44
Baseline,3174.79,7197.73,10303.63,14673.26,131227.78
Baseline,5943.70,10307.08,6420.36,23379.09,179769.40
Baseline,11953.32,19914.81,6226.22,14295.54,149137.83
Baseline,5719.63,11378.75,5233.43,17941.68,151490.41
Baseline,4889.91,5649.22,4594.21,15906.04,129236.41
Baseline,2114.89,5409.03,7935.71,11443.19,129929.05
Baseline,3886.81,10908.19,8331.27,12934.73,125952.86
Baseline,2598.78,6396.94,7378.61,13448.12,132984.47
Baseline,5425.92,12256.31,6577.27,15640.11,142341.43
Baseline,87670.43,18986.96,30784.30,94958.25,501662.76
Baseline,38307.98,44144.95,27958.07,111718.42,171590.57
Baseline,51585.10,108919.31,62044.13,73107.97,118440.36
Baseline,23088.94,23532.51,20827.82,34958.90,156508.94
Baseline,7709.37,6595.98,4977.24,9515.06,105661.69
Baseline,10213.99,12748.00,9983.68,25278.12,119723.45
Baseline,4236.07,3973.96,7348.25,13987.37,116516.07
Baseline,2887.18,4051.15,5491.91,11471.65,113871.58
Baseline,21661.09,25411.48,16171.16,22098.37,114548.13
Baseline,160936.04,121737.74,105175.64,117013.24,208981.42
Baseline,5532.92,15813.62,4611.56,16095.24,110111.81
Baseline,5015.57,6735.54,9380.02,11376.02,103467.50
Baseline,5078.67,8575.86,6720.47,11829.85,94252.72
Baseline,4667.73,4749.43,5563.46,9876.18,95053.94
Baseline,8366.96,7418.61,6005.34,13152.18,96115.66
